From;To;Type;Through;-1;-1;-1;-1;Comment
0141;0173;major_river;;-1;-1;-1;-1;Ansion to Keitum
0139;0141;major_river;;-1;-1;-1;-1;Namadii to Ansion
0141;0145;major_river;;-1;-1;-1;-1;Ansion to Kalaan (Kalaan City)
0148;0154;major_river;;-1;-1;-1;-1;Kalaan (Glenn) to Ord Varee
0154;0164;major_river;;-1;-1;-1;-1;Ord Varee to Glee Anselm
0164;0174;major_river;;-1;-1;-1;-1;Glee Anselm to Vaced
0174;0199;major_river;;-1;-1;-1;-1;Vaced to Dorin (Dor'shan)
0200;0221;major_river;;-1;-1;-1;-1;Dorin to Rondai (Dor'galk)
0221;0232;major_river;;-1;-1;-1;-1;Rondai to Bilbringi
0232;0245;major_river;;-1;-1;-1;-1;Bilbringi to Bengat
0245;0270;major_river;;-1;-1;-1;-1;Bengat to Aphran (Allston)
0271;0285;major_river;;-1;-1;-1;-1;Aphran to Meastrinnar
0285;0286;major_river;;-1;-1;-1;-1;Meastrinnar to Voltare
0286;0312;major_river;;-1;-1;-1;-1;Voltare to Carratos
0312;0341;major_river;;-1;-1;-1;-1;Carratos to Sif-Uwana
0341;0346;major_river;;-1;-1;-1;-1;Sif-Uwana to Palanhi
0346;0378;major_river;;-1;-1;-1;-1;Palanhi to Ord Miril
0378;0387;major_river;;-1;-1;-1;-1;Ord Miril to Borleias
0387;0395;major_river;;-1;-1;-1;-1;Borleias to Pantolomin
0395;0416;major_river;;-1;-1;-1;-1;Pantolomin to Twith
0416;0497;major_river;;-1;-1;-1;-1;Twith to Velucia
0497;0498;major_river;;-1;-1;-1;-1;Velusia to Thokos
0498;0485;major_river;;-1;-1;-1;-1;Thokos to Coruscant
0416;0430;major_river;;-1;-1;-1;-1;Twith to Galvoni
0430;0431;major_river;;-1;-1;-1;-1;Galvoni to Weerden
0431;0454;major_river;;-1;-1;-1;-1;Weerden to Tanjay
0454;0485;major_river;;-1;-1;-1;-1;Tanjay to Coruscant
0295;0317;major_river;;-1;-1;-1;-1;J't'p'tan to N'Zoth
0317;0276;major_river;;-1;-1;-1;-1;N'zoth to Galantos
0317;0331;major_river;;-1;-1;-1;-1;N'zoth to Cal-Seti
0276;0331;major_river;;-1;-1;-1;-1;Galantos to Cal-Seti
0331;0372;major_river;;-1;-1;-1;-1;Cal-Seti to Alland
0372;0406;major_river;;-1;-1;-1;-1;Alland to Norkronia
0406;0434;major_river;;-1;-1;-1;-1;Norkronia to Metellos
0434;0485;major_river;;-1;-1;-1;-1;Metellos to Coruscant
0485;0590;major_river;;-1;-1;-1;-1;Coruscant to Ixtlar
0590;0625;major_river;;-1;-1;-1;-1;Ixtlar to Wukkar
0625;0664;major_river;;-1;-1;-1;-1;Wukkar to Kailor
0664;0696;major_river;;-1;-1;-1;-1;Kailor to Xorth
0696;0758;major_river;;-1;-1;-1;-1;Xorth to Vuma
0758;0787;major_river;;-1;-1;-1;-1;Vuma to Leria Kerslsil
0787;0801;major_river;;-1;-1;-1;-1;Leria Kerslil to Perma
0801;0815;major_river;;-1;-1;-1;-1;Perma to Lolnar
0815;0832;major_river;;-1;-1;-1;-1;Lolnar to Rehemsa
0832;0845;major_river;;-1;-1;-1;-1;Rehemsa to Sedatris
0845;0873;major_river;;-1;-1;-1;-1;Sedatris to Rydonni Prime
0873;0846;major_river;;-1;-1;-1;-1;Rydonni Prime to Goorla
0846;0885;major_river;;-1;-1;-1;-1;Goorla to Corellia
0885;0861;major_river;;-1;-1;-1;-1;Corellia to Sacorria
0861;0874;major_river;;-1;-1;-1;-1;Sacorria to Duro
0874;0875;major_river;;-1;-1;-1;-1;Duro to Chasin
0875;0855;major_river;;-1;-1;-1;-1;Chasin to Condular
0855;0826;major_river;;-1;-1;-1;-1;Condular to Gandeal
0826;0797;major_river;;-1;-1;-1;-1;Gandeal to Belazura
0797;0783;major_river;;-1;-1;-1;-1;Belazra to Bryexx
0783;0778;major_river;;-1;-1;-1;-1;Bryexx to Enisca
0778;0771;major_river;;-1;-1;-1;-1;Enisca to Kelada
0771;0753;major_river;;-1;-1;-1;-1;Kelada to Foless
0753;0730;major_river;;-1;-1;-1;-1;Foless to Bestine
0730;0706;major_river;;-1;-1;-1;-1;Bestine to Mechis
0706;0701;major_river;;-1;-1;-1;-1;Mechis to Renillis
0701;0690;major_river;;-1;-1;-1;-1;Renillis to Yag'Dhul
0690;0685;major_river;;-1;-1;-1;-1;Yag'Dhul to Harrin 
0685;0674;major_river;;-1;-1;-1;-1;Harrin to Moorja
0674;0655;major_river;;-1;-1;-1;-1;Moorja to Calus
0655;0635;major_river;;-1;-1;-1;-1;Calus to Epica
0635;0637;major_river;;-1;-1;-1;-1;Epica to Roona
0637;0608;major_river;;-1;-1;-1;-1;Roona to Borkyne
0608;0530;major_river;;-1;-1;-1;-1;Borkyne to Kinyen
0530;0450;major_river;;-1;-1;-1;-1;Kinyen to Pendari
0450;0399;major_river;;-1;-1;-1;-1;Pendari to Tar Mordon
0399;0389;major_river;;-1;-1;-1;-1;Tar Mordon to Calonica
0389;0351;major_river;;-1;-1;-1;-1;Calonica to Bomis Koori (Terrence)
0358;0359;major_river;;-1;-1;-1;-1;Bomis Koori (Genndy) to Kriselist
0359;0335;major_river;;-1;-1;-1;-1;Kriselist to D'rinba
0335;0343;major_river;;-1;-1;-1;-1;D'rinba to Chibias
0343;0332;major_river;;-1;-1;-1;-1;Chibias to Kaal
0332;0323;major_river;;-1;-1;-1;-1;Kaal to Dalisor
0323;0336;major_river;;-1;-1;-1;-1;Dalisor to Jaloch (Jiroch-Saloch)
0338;0339;major_river;;-1;-1;-1;-1;Jaloch (Jaloch-Reslia) to Quamar
0339;0315;major_river;;-1;-1;-1;-1;Quamar to Mugaar
0315;0321;major_river;;-1;-1;-1;-1;Mugaar to Javin
0321;0308;major_river;;-1;-1;-1;-1;Javin to Kumru (Craig'Ro)
0304;0301;major_river;;-1;-1;-1;-1;Kumru (Ecallaw) to Gerrenthum
0301;0299;major_river;;-1;-1;-1;-1;Gerrenthum to Ione
0299;0288;major_river;;-1;-1;-1;-1;Ione to Darlyn Boda
0288;0300;major_river;;-1;-1;-1;-1;Darlyn Boda to Isde Naha
300;0293;major_river;;-1;-1;-1;-1;Isde Naha to Berrol's Donn
0293;0294;major_river;;-1;-1;-1;-1;Berrol's Donn to Sil'Lume
0294;0305;major_river;;-1;-1;-1;-1;Sil'Lume to Manpha
0305;0319;major_river;;-1;-1;-1;-1;Manpha to Terminus (Goodwin)
0861;0901;major_river;;-1;-1;-1;-1;Sacorria to Nubia
0901;0906;major_river;;-1;-1;-1;-1;Nubia to Tinnel
0906;0933;major_river;;-1;-1;-1;-1;Tinnel to Loronar
0933;0952;major_river;;-1;-1;-1;-1;Loronar  to Byblos
0952;0968;major_river;;-1;-1;-1;-1;Byblos to Pencael
0968;0991;major_river;;-1;-1;-1;-1;Pencael to Havricus
0991;1019;major_river;;-1;-1;-1;-1;Havricus to Iseno
1019;1025;major_river;;-1;-1;-1;-1;Iseno to Denon
1025;1075;major_river;;-1;-1;-1;-1;Denon to Perithal
1075;1099;major_river;;-1;-1;-1;-1;Perithal to Spirana
1099;1135;major_river;;-1;-1;-1;-1;Spirana to Rhommammool
1135;1166;major_river;;-1;-1;-1;-1;Rhommammool to Tlactehon
1166;1183;major_river;;-1;-1;-1;-1;Tlactehon to Allanteen
1183;1246;major_river;;-1;-1;-1;-1;Allanteen to Gamor
1246;1274;major_river;;-1;-1;-1;-1;Gamor to Milagro
1274;1317;major_river;;-1;-1;-1;-1;Milagro to Thaere
1317;1386;major_river;;-1;-1;-1;-1;Thaere to Doldur
1386;1394;major_river;;-1;-1;-1;-1;Doldur to Druckenwell
1394;1403;major_river;;-1;-1;-1;-1;Druckenwell to Paqwepor Major
1403;1437;major_river;;-1;-1;-1;-1;Paqwepor Major to Kabray
1437;1461;major_river;;-1;-1;-1;-1;Kabray to Algara
1461;1474;major_river;;-1;-1;-1;-1;Algara to Andosha
1474;1499;major_river;;-1;-1;-1;-1;Andosha to Mon Gazza
1499;1550;major_river;;-1;-1;-1;-1;Mon Gazza to Herdessa
1550;1566;major_river;;-1;-1;-1;-1;Herdessa to Radnor
1566;0051;major_river;;-1;-1;-1;-1;Radnor to Christophsis
0051;0073;major_river;;-1;-1;-1;-1;Christophsis to Savareen
0073;1613;major_river;;-1;-1;-1;-1;Savareen to Arkanis
1613;1619;major_river;;-1;-1;-1;-1;Arkanis to Sirpar
1619;1630;major_river;;-1;-1;-1;-1;Sirpar to Gorno
1630;1669;major_river;;-1;-1;-1;-1;Gorno to Dalchon
1669;1704;major_river;;-1;-1;-1;-1;Dalchon to Ryloth
1704;1769;major_river;;-1;-1;-1;-1;Ryloth to Wrea
1769;1804;major_river;;-1;-1;-1;-1;Wrea to Smuggler's Run
0485;0523;major_river;;-1;-1;-1;-1;Coruscant to Alsakan
0523;0555;major_river;;-1;-1;-1;-1;Alsakan to Grizmallt
0555;0584;major_river;;-1;-1;-1;-1;Grizmallt to Anaxes
0584;0599;major_river;;-1;-1;-1;-1;Anaxes to Corulag
0599;0612;major_river;;-1;-1;-1;-1;Corulag to Chandrila
0612;0640;major_river;;-1;-1;-1;-1;Chandrila to Brentaal
0640;0643;major_river;;-1;-1;-1;-1;Brentaal to Esseles
0643;0670;major_river;;-1;-1;-1;-1;Esseles to Rhinnal
0670;0678;major_river;;-1;-1;-1;-1;Rhinnal to Ralltiir
0678;0699;major_river;;-1;-1;-1;-1;Ralltiir to Delle
0699;0741;major_river;;-1;-1;-1;-1;Delle to Yabol Opa
0741;0765;major_river;;-1;-1;-1;-1;Yabol Opa to Ifmix
0765;0786;major_river;;-1;-1;-1;-1;Ifmix to Shulstine
0786;0810;major_river;;-1;-1;-1;-1;Shulstine to Castell
0810;0829;major_river;;-1;-1;-1;-1;Castell to Raithal
0829;0903;major_river;;-1;-1;-1;-1;Raithal to Vurdon Ka
0903;0941;major_river;;-1;-1;-1;-1;Vurdon Ka to Joiol
0941;0974;major_river;;-1;-1;-1;-1;Joiol to Chazwa
0974;1042;major_river;;-1;-1;-1;-1;Chazwa to Relatta
1042;1110;major_river;;-1;-1;-1;-1;Relatta to Tirahnn
1110;1182;major_river;;-1;-1;-1;-1;Tirahnn to Dalcretti
1182;1263;major_river;;-1;-1;-1;-1;Dalcretti to Taanab (Pandath)
1263;1296;major_river;;-1;-1;-1;-1;Taanab (Raffel) to Carcel
1296;1307;major_river;;-1;-1;-1;-1;Carcel to Sermeria
1307;1330;major_river;;-1;-1;-1;-1;Sermeria to Pirin
1330;1360;major_river;;-1;-1;-1;-1;Pirin to Gizer
1360;1390;major_river;;-1;-1;-1;-1;Gizer to Lantillies
1390;1462;major_river;;-1;-1;-1;-1;Lantillies to Rearqu 10
1462;1496;major_river;;-1;-1;-1;-1;Rearqu 10 to Jeyell
1496;1524;major_river;;-1;-1;-1;-1;Jeyell to Roche
1524;1573;major_river;;-1;-1;-1;-1;Roche to Orleon
1573;1584;major_river;;-1;-1;-1;-1;Orleon to Talcene
1584;1597;major_river;;-1;-1;-1;-1;Talcene to Salvara
1597;1608;major_river;;-1;-1;-1;-1;Salvara to Euceron
1608;1644;major_river;;-1;-1;-1;-1;Euceron to Abhean
1644;1661;major_river;;-1;-1;-1;-1;Abhean to The Wheel
1661;1678;major_river;;-1;-1;-1;-1;The Wheel to Centares
1678;1690;major_river;;-1;-1;-1;-1;Centares to Antemeridias
1690;1711;major_river;;-1;-1;-1;-1;Antemeridias to Columex 
1690;1660;major_river;;-1;-1;-1;-1;Antemeridias to Nam Chorios
1711;1762;major_river;;-1;-1;-1;-1;Columex to Arcan
1762;1766;major_river;;-1;-1;-1;-1;Arcan to Lianna
1766;1795;major_river;;-1;-1;-1;-1;Lianna to Barseg
1795;1789;major_river;;-1;-1;-1;-1;Barseg to Lorrad
1789;1802;major_river;;-1;-1;-1;-1;Lorrad to Desevro
1802;1794;major_river;;-1;-1;-1;-1;Desevro to Livien
1794;1810;major_river;;-1;-1;-1;-1;Livien to Kanaver
1810;1823;major_river;;-1;-1;-1;-1;Kanaver to Janodral Mizar
1823;1835;major_river;;-1;-1;-1;-1;Janodral Mizar to Ank Ki'Shor
1835;1844;major_river;;-1;-1;-1;-1;Ank Ki'Shor to Estaria
1844;1852;major_river;;-1;-1;-1;-1;Estaria to Makem Te
1852;1869;major_river;;-1;-1;-1;-1;Makem Te to Quermia
0199;0213;major_river;;-1;-1;-1;-1;Dorin (Dor'shan) to Myomar
0213;0231;major_river;;-1;-1;-1;-1;Myomar to Vicondor
0485;0476;major_river;;-1;-1;-1;-1;Coruscant to Foerost
0476;0469;major_river;;-1;-1;-1;-1;Foerost to Ruan
0469;0437;major_river;;-1;-1;-1;-1;Ruan to Stassia
0437;0420;major_river;;-1;-1;-1;-1;Stassia to Salliche
0420;0392;major_river;;-1;-1;-1;-1;Salliche to Worru'du
0392;0369;major_river;;-1;-1;-1;-1;Worru'du to Galand 
0369;0357;major_river;;-1;-1;-1;-1;Galand to Fresia
0357;0331;major_river;;-1;-1;-1;-1;Fresia to Cal-Seti
0416;0422;major_river;;-1;-1;-1;-1;Twith to Farrfin
0430;0422;major_river;;-1;-1;-1;-1;Galvoni to Farrfin
0497;0422;major_river;;-1;-1;-1;-1;Velusia to Farrfin
0422;0453;major_river;;-1;-1;-1;-1;Farrfin to Mamendin
0453;0505;major_river;;-1;-1;-1;-1;Mamendin to Olgo
0319;0239;major_river;;-1;-1;-1;-1;Terminus to Imynusoph
0319;0404;major_river;;-1;-1;-1;-1;Terminus to Fwatna
1613;1621;major_river;;-1;-1;-1;-1;Arkanis to Issor
1621;1639;major_river;;-1;-1;-1;-1;Issor to New Ator
1621;1640;major_river;;-1;-1;-1;-1;Issor to Najiba
1640;1647;major_river;;-1;-1;-1;-1;Najiba to Vasch
1613;1647;major_river;;-1;-1;-1;-1;Arkanis to Vasch
1704;1647;major_river;;-1;-1;-1;-1;Ryloth to Vasch
1704;1680;major_river;;-1;-1;-1;-1;Ryloth to Vor Deo
1647;1680;major_river;;-1;-1;-1;-1;Vasch to Vor Deo
1674;1680;major_river;;-1;-1;-1;-1;Geonosis to Vor Deo
1674;1646;major_river;;-1;-1;-1;-1;Geonosis to Tatooine
1639;1646;major_river;;-1;-1;-1;-1;New Ator to Tatooine
1674;1699;major_river;;-1;-1;-1;-1;Geonosis to Cranan
1699;1701;major_river;;-1;-1;-1;-1;Cranan to Vactooine
1701;1707;major_river;;-1;-1;-1;-1;Cranan to Cirus
1699;1935;major_river;;-1;-1;-1;-1;Cranan to Excarga
1674;1681;major_river;;-1;-1;-1;-1;Geonosis to Ooo-temiuk
1499;1618;major_river;;-1;-1;-1;-1;Mon Gazza to Pii
1618;1646;major_river;;-1;-1;-1;-1;Pii to Tatooine
1618;1692;major_river;;-1;-1;-1;-1;Pii to Piroket
1692;1681;major_river;;-1;-1;-1;-1;Piroket to Ooo-temiuk
0685;0716;major_river;;-1;-1;-1;-1;Harrin to Wroona
0690;0707;major_river;;-1;-1;-1;-1;Yag'dhul to Sukkult
0707;0716;major_river;;-1;-1;-1;-1;Sukkult to Wroona
0716;0744;major_river;;-1;-1;-1;-1;Wroona to Tregillis
1613;1585;major_river;;-1;-1;-1;-1;Arkanis to Tythe
1585;1575;major_river;;-1;-1;-1;-1;Tythe to Nelvaan
1575;1508;major_river;;-1;-1;-1;-1;Nelvaan to Llanic
1499;1508;major_river;;-1;-1;-1;-1;Mon Gazza to Llanic
1508;1464;major_river;;-1;-1;-1;-1;Llanic to Zhar
1508;1487;major_river;;-1;-1;-1;-1;Llanic to Socorro
0469;0514;major_river;;-1;-1;-1;-1;Ruan to Jerrilek
0514;0499;major_river;;-1;-1;-1;-1;Jerrilek to Empress Teta
0499;0464;major_river;;-1;-1;-1;-1;Empress Teta to Keeara Major
0464;0390;major_river;;-1;-1;-1;-1;Keeara Major to Prakith
0390;0333;major_river;;-1;-1;-1;-1;Prakith to Odik
0333;0381;major_river;;-1;-1;-1;-1;Odik to Byss
0640;0679;major_river;;-1;-1;-1;-1;Brentaal to Skako
0679;0750;major_river;;-1;-1;-1;-1;Skako to Aldraig
0670;0711;major_river;;-1;-1;-1;-1;Rhinnal to Tepasi
0497;0565;major_river;;-1;-1;-1;-1;Velusia to Shawken 
0565;0569;major_river;;-1;-1;-1;-1;Shawken to Challon
0569;0618;major_river;;-1;-1;-1;-1;Challon to Wakeelmui
0640;0618;major_river;;-1;-1;-1;-1;Brentaal to Wakeelmui
0618;0624;major_river;;-1;-1;-1;-1;Wakeelmui to Uviuy Exen
0346;0377;major_river;;-1;-1;-1;-1;Palanhi to Noquivzor
0346;0266;major_river;;-1;-1;-1;-1;Palanhi to Vakkar
0377;0562;major_river;;-1;-1;-1;-1;Noquivzor to Ord Antalaha
0562;0609;major_river;;-1;-1;-1;-1;Ord Antalaha to Dankayo
0416;0397;major_river;;-1;-1;-1;-1;Twith to Voon 
0397;0375;major_river;;-1;-1;-1;-1;Voon to Hyabb 
0301;0261;major_river;;-1;-1;-1;-1;Gerrenthum to Mijos
0261;0240;major_river;;-1;-1;-1;-1;Mijos to Lutrillia
0288;0240;major_river;;-1;-1;-1;-1;Darlyn Boda to Lutrillia
0288;0259;major_river;;-1;-1;-1;-1;Darlyn Boda to Hoth
0258;0259;major_river;;-1;-1;-1;-1;Anoat to Hoth
0258;0257;major_river;;-1;-1;-1;-1;Anoat to Bespin
0301;0257;major_river;;-1;-1;-1;-1;Gerrenthum to Bespin
0301;0330;major_river;;-1;-1;-1;-1;Gerrenthum to Nothoiin
0330;0340;major_river;;-1;-1;-1;-1;Nothoiin to Polmanar
0300;0340;major_river;;-1;-1;-1;-1;Isde Naha to Polmanar
0300;0201;major_river;;-1;-1;-1;-1;Isde Naha to Abridon
0171;0201;major_river;;-1;-1;-1;-1;Keskin to Abridon 
0171;0137;major_river;;-1;-1;-1;-1;Keskin to Sump
0114;0137;major_river;;-1;-1;-1;-1;Virgillia to Sump
0114;0108;major_river;;-1;-1;-1;-1;Virgillia to Lipsec
0118;0240;major_river;;-1;-1;-1;-1;Ryoone to Lutrillia
0118;0106;major_river;;-1;-1;-1;-1;Ryoone to Koda Station
0246;0240;major_river;;-1;-1;-1;-1;Lorta to Lutrillia
0246;0261;major_river;;-1;-1;-1;-1;Lorta to Mijos
0246;0249;major_river;;-1;-1;-1;-1;Lorta to Quaensan Prime
0224;0249;major_river;;-1;-1;-1;-1;Elbara to Quaensan Prime
0224;0210;major_river;;-1;-1;-1;-1;Elbara to Hirsi
0162;0210;major_river;;-1;-1;-1;-1;Riflor to Hirsi
0162;0150;major_river;;-1;-1;-1;-1;Riflor to Koba
0128;0150;major_river;;-1;-1;-1;-1;Cheelit to Koba
0128;0120;major_river;;-1;-1;-1;-1;Cheelit to Cerea
0138;0120;major_river;;-1;-1;-1;-1;Chalcedon to Cerea
0102;0120;major_river;;-1;-1;-1;-1;Abbaji to Cerea
0102;0095;major_river;;-1;-1;-1;-1;Abbaji to Annaj
0100;0095;major_river;;-1;-1;-1;-1;Ovise to Annaj
0100;0097;major_river;;-1;-1;-1;-1;Ovise to Maya Kovel
0089;0097;major_river;;-1;-1;-1;-1;Firrerre to Maya Kovel
0090;0097;major_river;;-1;-1;-1;-1;Houche to Maya Kovel
0100;0094;major_river;;-1;-1;-1;-1;Ovise to Endor
0091;0094;major_river;;-1;-1;-1;-1;Sanyassa to Endor
0075;0091;major_river;;-1;-1;-1;-1;Timora to Sanyassa
0075;0070;major_river;;-1;-1;-1;-1;Timora to Bakura
0138;0149;major_river;;-1;-1;-1;-1;Chalcedon to Tashtor Seneca
0149;0157;major_river;;-1;-1;-1;-1;Tashtor Seneca to Petabys Station
0170;0157;major_river;;-1;-1;-1;-1;Halm to Petabys Station
0170;0233;major_river;;-1;-1;-1;-1;Halm to Har Binande
0264;0233;major_river;;-1;-1;-1;-1;Natalon to Har Binande
0264;0318;major_river;;-1;-1;-1;-1;Natalon to Noe'ha'on
0411;0318;major_river;;-1;-1;-1;-1;New Balosar to Noe'ha'on 
0411;530;major_river;;-1;-1;-1;-1;New Balosar to Kinyen
0690;0665;major_river;;-1;-1;-1;-1;Yag'Dhul to Tauber
0646;0665;major_river;;-1;-1;-1;-1;Thyferra to Tauber
0646;0600;major_river;;-1;-1;-1;-1;Thyferra to Vanik
0575;0600;major_river;;-1;-1;-1;-1;Ghorman to Vanik
0575;0500;major_river;;-1;-1;-1;-1;Ghorman to Giju
0470;0500;major_river;;-1;-1;-1;-1;Dentaal to Giju
0470;0459;major_river;;-1;-1;-1;-1;Dentaal to Abregado-rae
0511;0459;major_river;;-1;-1;-1;-1;Diamal to Abregado-rae
0511;0544;major_river;;-1;-1;-1;-1;Diamal to Vindalia
0500;0544;major_river;;-1;-1;-1;-1;Giju to Vindalia
0563;0544;major_river;;-1;-1;-1;-1;Fondor to Vindalia
0563;0578;major_river;;-1;-1;-1;-1;Fondor to Mrlsst
0646;0578;major_river;;-1;-1;-1;-1;Thyferra to Mrlsst
0753;0681;major_river;;-1;-1;-1;-1;Foless to Teyr
0753;0666;major_river;;-1;-1;-1;-1;Foless to Vulvarch
0666;0681;major_river;;-1;-1;-1;-1;Vulvarch to Teyr
0638;0681;major_river;;-1;-1;-1;-1;Bassadro to Teyr
0638;0666;major_river;;-1;-1;-1;-1;Bassadro to Vulvarch
0638;0563;major_river;;-1;-1;-1;-1;Bassadro to Fondor
0500;0370;major_river;;-1;-1;-1;-1;Giju to Omar
0328;0370;major_river;;-1;-1;-1;-1;Illodia to Omar
0328;0242;major_river;;-1;-1;-1;-1;Illodia to Dahrtag
0215;0242;major_river;;-1;-1;-1;-1;Hjaff to Dahrtag
0215;0206;major_river;;-1;-1;-1;-1;Hjaff to Kitel Phard
0609;0624;major_river;;-1;-1;-1;-1;Dankayo to Uviuy Exen
0750;0777;major_river;;-1;-1;-1;-1;Aldraig to Demophon
0789;0777;major_river;;-1;-1;-1;-1;Glithnos to Demophon
0789;0817;major_river;;-1;-1;-1;-1;Glithnos to Fedalle
0857;0817;major_river;;-1;-1;-1;-1;Talravin to Fedalle
0857;0821;major_river;;-1;-1;-1;-1;Talravin to Sarapin
0891;0821;major_river;;-1;-1;-1;-1;Trellen to Sarapin
0891;0911;major_river;;-1;-1;-1;-1;Trellen to Mawan
0921;0911;major_river;;-1;-1;-1;-1;Loretto to Mawan
0921;0925;major_river;;-1;-1;-1;-1;Loretto to Baraboo
0936;0925;major_river;;-1;-1;-1;-1;Bellassa to Baraboo
0936;0946;major_river;;-1;-1;-1;-1;Bellassa to Jaciprus
0962;0946;major_river;;-1;-1;-1;-1;Voktunma to Jaciprus
0962;0964;major_river;;-1;-1;-1;-1;Voktunma to Exodeen
0971;0964;major_river;;-1;-1;-1;-1;Boudolayz to Exodeen
0971;0984;major_river;;-1;-1;-1;-1;Boudolayz to Herzob
0992;0984;major_river;;-1;-1;-1;-1;Besnia to Herzob
0992;1002;major_river;;-1;-1;-1;-1;Besnia to Koensayr
1014;1002;major_river;;-1;-1;-1;-1;Aquilae to Koensayr
1014;1025;major_river;;-1;-1;-1;-1;Aquilae to Denon
1766;1736;major_river;;-1;-1;-1;-1;Lianna to Syngia
0892;1736;major_river;;-1;-1;-1;-1;Zygeria to Syngia
1793;1818;major_river;;-1;-1;-1;-1;Jerrist to Etti
0892;1648;major_river;;-1;-1;-1;-1;Zygeria to Gigor
1847;1818;major_river;;-1;-1;-1;-1;Bonadan to Etti
1847;1788;major_river;;-1;-1;-1;-1;Bonadan to Lythos
1564;1648;major_river;;-1;-1;-1;-1;Sikurd to Gigor
1564;1545;major_river;;-1;-1;-1;-1;Sikurd to Mirial
1528;1545;major_river;;-1;-1;-1;-1;Listehol to Mirial
1528;1582;major_river;;-1;-1;-1;-1;Listehol to Ruuria
1528;1511;major_river;;-1;-1;-1;-1;Listehol to Tanive
1703;1582;major_river;;-1;-1;-1;-1;Cadomai to Ruuria
1703;1719;major_river;;-1;-1;-1;-1;Cadomai to Reltooine
1788;1719;major_river;;-1;-1;-1;-1;Lythos to Reltooine
1730;1719;major_river;;-1;-1;-1;-1;Davirien to Reltooine
1730;1746;major_river;;-1;-1;-1;-1;Davirien to Drog
1818;1746;major_river;;-1;-1;-1;-1;Etti to Drog
1750;1746;major_river;;-1;-1;-1;-1;Craci to Drog
1750;1730;major_river;;-1;-1;-1;-1;Craci to Davirien
1750;1793;major_river;;-1;-1;-1;-1;Craci to Jerrist
1818;1811;major_river;;-1;-1;-1;-1;Etti to Ession
1836;1811;major_river;;-1;-1;-1;-1;Kalla to Ession
1836;1793;major_river;;-1;-1;-1;-1;Kalla to Jerrist
1836;1848;major_river;;-1;-1;-1;-1;Kalla to Oslumpex 
1830;1848;major_river;;-1;-1;-1;-1;Ammuud to Oslumpex
1492;1511;major_river;;-1;-1;-1;-1;Doniphon to Tanive
1492;1480;major_river;;-1;-1;-1;-1;Doniphon to Telos
1409;1480;major_river;;-1;-1;-1;-1;Praadost to Telos
1409;1377;major_river;;-1;-1;-1;-1;Praadost to Pho Ph'eah
1359;1377;major_river;;-1;-1;-1;-1;Toprawa to Pho Ph'eah
1359;1337;major_river;;-1;-1;-1;-1;Toprawa to Simpla
1333;1337;major_river;;-1;-1;-1;-1;Hynah to Simpla 
1333;1334;major_river;;-1;-1;-1;-1;Hynah to Sorrus
1368;1488;major_river;;-1;-1;-1;-1;Phindar to Maridun
1368;1304;major_river;;-1;-1;-1;-1;Phindar to Alba
