province;red;green;blue;x;x
174;206;216;56;Province0174;x
175;218;147;47;Province0175;x
176;126;158;82;Province0176;x
177;63;48;80;Province0177;x
178;153;45;101;Province0178;x
179;104;11;51;Province0179;x
180;231;136;38;Province0180;x
181;172;202;21;Province0181;x
182;143;43;96;Province0182;x
183;115;14;92;Province0183;x
184;99;185;126;Province0184;x
185;103;197;48;Province0185;x
186;166;245;34;Province0186;x
187;152;82;113;Province0187;x
188;104;146;18;Province0188;x
189;198;18;48;Province0189;x
190;239;225;84;Province0190;x
191;222;186;96;Province0191;x
192;91;0;73;Province0192;x
193;136;25;4;Province0193;x
194;139;36;102;Province0194;x
195;151;114;19;Province0195;x
196;113;254;54;Province0196;x
197;247;224;68;Province0197;x
198;85;254;60;Province0198;x
199;87;166;25;Province0199;x
200;170;27;23;Province0200;x
201;178;166;31;Province0201;x
202;233;104;121;Province0202;x
203;157;15;111;Province0203;x
204;96;69;49;Province0204;x
205;179;88;85;Province0205;x
206;82;74;96;Province0206;x
207;188;105;108;Province0207;x
208;111;88;19;Province0208;x
209;198;159;122;Province0209;x
210;104;111;107;Province0210;x
211;125;49;99;Province0211;x
212;172;235;25;Province0212;x
213;158;85;83;Province0213;x
214;197;14;83;Province0214;x
215;191;4;74;Province0215;x
216;118;143;101;Province0216;x
217;64;181;37;Province0217;x
218;228;138;13;Province0218;x
219;82;118;122;Province0219;x
220;229;198;20;Province0220;x
221;165;7;124;Province0221;x
222;99;138;94;Province0222;x
223;224;116;36;Province0223;x
224;146;35;3;Province0224;x
225;65;12;52;Province0225;x
226;120;210;38;Province0226;x
227;230;215;95;Province0227;x
228;210;188;29;Province0228;x
229;94;34;86;Province0229;x
230;91;166;11;Province0230;x
231;117;81;108;Province0231;x
232;182;35;124;Province0232;x
233;120;212;121;Province0233;x
234;218;82;116;Province0234;x
235;133;142;8;Province0235;x
236;251;83;104;Province0236;x
237;130;81;3;Province0237;x
238;214;147;76;Province0238;x
239;234;43;24;Province0239;x
240;190;223;97;Province0240;x
241;102;74;62;Province0241;x
242;204;39;98;Province0242;x
243;101;229;58;Province0243;x
244;220;122;126;Province0244;x
245;177;182;108;Province0245;x
246;121;121;92;Province0246;x
247;110;138;94;Province0247;x
248;217;145;70;Province0248;x
249;252;9;23;Province0249;x
250;229;198;62;Province0250;x
251;224;246;60;Province0251;x
252;104;58;71;Province0252;x
253;252;174;64;Province0253;x
254;66;95;23;Province0254;x
255;155;206;5;Province0255;x
256;72;212;67;Province0256;x
257;151;254;82;Province0257;x
258;227;175;46;Province0258;x
259;220;184;121;Province0259;x
260;131;66;86;Province0260;x
261;124;11;108;Province0261;x
262;138;216;35;Province0262;x
263;226;60;44;Province0263;x
264;122;22;76;Province0264;x
265;153;108;85;Province0265;x
266;232;64;80;Province0266;x
267;84;198;53;Province0267;x
268;244;141;108;Province0268;x
269;200;137;99;Province0269;x
270;93;63;118;Province0270;x
271;242;249;39;Province0271;x
272;205;66;103;Province0272;x
273;179;185;39;Province0273;x
274;237;145;37;Province0274;x
275;200;203;93;Province0275;x
276;205;133;77;Province0276;x
277;139;62;19;Province0277;x
278;92;110;62;Province0278;x
279;185;234;32;Province0279;x
280;230;82;101;Province0280;x
281;249;8;49;Province0281;x
282;116;111;77;Province0282;x
283;204;133;71;Province0283;x
284;67;93;15;Province0284;x
285;155;38;26;Province0285;x
286;178;91;2;Province0286;x
287;165;114;62;Province0287;x
288;139;114;101;Province0288;x
289;64;210;80;Province0289;x
290;154;224;28;Province0290;x
291;175;189;48;Province0291;x
292;248;154;71;Province0292;x
293;233;47;93;Province0293;x
294;249;235;65;Province0294;x
295;87;183;101;Province0295;x
296;201;241;7;Province0296;x
297;192;9;108;Province0297;x
298;128;208;51;Province0298;x
299;82;176;9;Province0299;x
300;100;245;9;Province0300;x
301;229;80;81;Province0301;x
302;177;242;46;Province0302;x
303;80;240;122;Province0303;x
304;180;58;85;Province0304;x
305;138;94;100;Province0305;x
306;68;202;106;Province0306;x
307;192;186;44;Province0307;x
308;248;16;63;Province0308;x
309;186;154;87;Province0309;x
310;190;52;119;Province0310;x
311;177;174;119;Province0311;x
312;175;105;4;Province0312;x
313;186;217;99;Province0313;x
314;152;232;4;Province0314;x
315;195;84;70;Province0315;x
316;193;167;34;Province0316;x
317;93;72;68;Province0317;x
318;133;206;6;Province0318;x
319;115;90;26;Province0319;x
320;227;98;82;Province0320;x
321;92;198;28;Province0321;x
322;103;81;26;Province0322;x
323;226;164;64;Province0323;x
324;218;72;34;Province0324;x
325;63;58;38;Province0325;x
326;109;125;115;Province0326;x
327;137;67;23;Province0327;x
328;248;98;113;Province0328;x
329;239;157;54;Province0329;x
330;222;231;38;Province0330;x
331;114;53;69;Province0331;x
332;125;156;42;Province0332;x
333;247;111;41;Province0333;x
334;251;116;67;Province0334;x
335;117;234;110;Province0335;x
336;149;116;117;Province0336;x
337;187;134;65;Province0337;x
338;121;37;46;Province0338;x
339;117;151;113;Province0339;x
340;111;227;100;Province0340;x
341;209;93;122;Province0341;x
342;119;235;114;Province0342;x
343;111;133;15;Province0343;x
344;91;81;117;Province0344;x
345;126;136;33;Province0345;x
346;66;25;76;Province0346;x
347;154;5;120;Province0347;x
348;244;50;46;Province0348;x
349;249;56;43;Province0349;x
350;174;136;39;Province0350;x
351;112;202;17;Province0351;x
352;63;122;35;Province0352;x
353;244;133;29;Province0353;x
354;134;27;85;Province0354;x
355;120;60;26;Province0355;x
356;97;113;9;Province0356;x
357;78;143;73;Province0357;x
358;147;42;80;Province0358;x
359;110;134;13;Province0359;x
360;151;180;61;Province0360;x
361;175;156;52;Province0361;x
362;78;179;24;Province0362;x
363;122;52;113;Province0363;x
364;107;94;13;Province0364;x
365;122;214;119;Province0365;x
366;141;241;62;Province0366;x
367;252;157;7;Province0367;x
368;227;29;94;Province0368;x
369;166;145;44;Province0369;x
370;182;177;51;Province0370;x
371;237;105;60;Province0371;x
372;143;228;100;Province0372;x
373;184;178;99;Province0373;x
374;122;109;75;Province0374;x
375;183;100;60;Province0375;x
376;122;125;92;Province0376;x
377;65;70;53;Province0377;x
378;166;130;63;Province0378;x
379;73;202;82;Province0379;x
380;228;158;22;Province0380;x
381;249;47;43;Province0381;x
382;95;53;82;Province0382;x
383;143;123;10;Province0383;x
384;80;175;100;Province0384;x
385;174;126;88;Province0385;x
386;143;58;16;Province0386;x
387;151;155;65;Province0387;x
388;148;90;91;Province0388;x
389;198;37;88;Province0389;x
390;182;133;85;Province0390;x
391;124;151;113;Province0391;x
392;151;27;86;Province0392;x
393;175;91;91;Province0393;x
394;223;228;119;Province0394;x
395;78;210;123;Province0395;x
396;95;234;18;Province0396;x
397;225;137;67;Province0397;x
398;97;134;77;Province0398;x
399;145;225;68;Province0399;x
400;148;168;77;Province0400;x
401;65;99;114;Province0401;x
402;167;17;41;Province0402;x
403;66;183;73;Province0403;x
404;149;161;81;Province0404;x
405;171;97;56;Province0405;x
406;222;86;62;Province0406;x
407;140;226;37;Province0407;x
408;71;185;11;Province0408;x
409;181;245;62;Province0409;x
410;201;166;85;Province0410;x
411;82;217;52;Province0411;x
412;253;56;84;Province0412;x
413;231;134;113;Province0413;x
414;226;17;82;Province0414;x
415;138;14;56;Province0415;x
416;219;250;124;Province0416;x
417;110;121;52;Province0417;x
418;78;120;92;Province0418;x
419;219;158;87;Province0419;x
420;124;17;27;Province0420;x
421;203;160;25;Province0421;x
422;215;81;95;Province0422;x
423;83;122;113;Province0423;x
424;231;33;81;Province0424;x
425;204;183;27;Province0425;x
426;77;51;120;Province0426;x
427;116;251;13;Province0427;x
428;85;2;47;Province0428;x
429;213;206;125;Province0429;x
430;254;2;63;Province0430;x
431;69;76;15;Province0431;x
432;202;225;19;Province0432;x
433;209;29;9;Province0433;x
434;170;131;121;Province0434;x
435;148;29;33;Province0435;x
436;240;37;32;Province0436;x
437;170;3;13;Province0437;x
438;81;103;45;Province0438;x
439;238;221;109;Province0439;x
440;152;194;121;Province0440;x
441;164;231;73;Province0441;x
442;192;161;50;Province0442;x
443;217;10;71;Province0443;x
444;229;88;121;Province0444;x
445;232;11;120;Province0445;x
446;148;194;98;Province0446;x
447;76;186;27;Province0447;x
448;118;138;47;Province0448;x
449;102;108;84;Province0449;x
450;203;158;112;Province0450;x
451;94;153;54;Province0451;x
452;137;99;119;Province0452;x
453;192;177;71;Province0453;x
454;127;242;67;Province0454;x
455;84;223;1;Province0455;x
456;125;107;116;Province0456;x
457;147;248;10;Province0457;x
458;143;24;106;Province0458;x
459;128;48;111;Province0459;x
460;125;252;120;Province0460;x
461;167;151;14;Province0461;x
462;150;240;39;Province0462;x
463;86;245;69;Province0463;x
464;103;51;46;Province0464;x
465;148;14;4;Province0465;x
466;176;52;38;Province0466;x
467;227;37;69;Province0467;x
468;184;14;66;Province0468;x
469;213;135;64;Province0469;x
470;70;25;80;Province0470;x
471;145;93;20;Province0471;x
472;63;33;104;Province0472;x
473;136;230;7;Province0473;x
474;152;11;17;Province0474;x
475;236;195;121;Province0475;x
476;192;6;79;Province0476;x
477;196;128;33;Province0477;x
478;158;140;97;Province0478;x
479;147;65;32;Province0479;x
480;113;39;63;Province0480;x
481;85;142;32;Province0481;x
482;68;224;30;Province0482;x
483;103;82;59;Province0483;x
484;231;21;115;Province0484;x
485;121;180;0;Province0485;x
486;187;42;12;Province0486;x
487;106;41;69;Province0487;x
488;142;172;103;Province0488;x
489;172;250;43;Province0489;x
490;225;208;61;Province0490;x
491;183;138;26;Province0491;x
492;95;140;89;Province0492;x
493;247;49;1;Province0493;x
494;210;225;32;Province0494;x
495;229;147;111;Province0495;x
496;212;46;121;Province0496;x
497;89;233;36;Province0497;x
498;205;203;83;Province0498;x
499;153;98;5;Province0499;x
500;155;221;94;Province0500;x
501;129;236;106;Province0501;x
502;67;112;123;Province0502;x
503;188;170;104;Province0503;x
504;224;67;25;Province0504;x
505;77;117;41;Province0505;x
506;248;19;90;Province0506;x
507;251;40;24;Province0507;x
508;109;221;20;Province0508;x
509;230;118;115;Province0509;x
510;84;172;32;Province0510;x
511;188;30;93;Province0511;x
512;185;222;58;Province0512;x
513;190;172;94;Province0513;x
514;212;141;103;Province0514;x
515;147;63;37;Province0515;x
516;191;74;47;Province0516;x
517;167;137;62;Province0517;x
518;77;7;80;Province0518;x
519;139;165;28;Province0519;x
520;121;228;124;Province0520;x
521;180;141;92;Province0521;x
522;182;152;24;Province0522;x
523;223;11;95;Province0523;x
524;106;189;95;Province0524;x
525;197;47;83;Province0525;x
526;197;236;50;Province0526;x
527;156;194;14;Province0527;x
528;116;92;10;Province0528;x
529;75;61;11;Province0529;x
530;121;59;113;Province0530;x
531;73;201;110;Province0531;x
532;184;140;40;Province0532;x
533;111;60;122;Province0533;x
534;238;24;10;Province0534;x
535;153;187;33;Province0535;x
536;173;217;42;Province0536;x
537;72;91;89;Province0537;x
538;232;226;76;Province0538;x
539;64;119;12;Province0539;x
540;105;47;96;Province0540;x
541;131;80;126;Province0541;x
542;73;4;88;Province0542;x
543;131;245;116;Province0543;x
544;98;246;83;Province0544;x
545;130;192;124;Province0545;x
546;76;254;54;Province0546;x
547;101;247;25;Province0547;x
548;169;66;78;Province0548;x
549;171;178;11;Province0549;x
550;76;35;50;Province0550;x
551;155;23;67;Province0551;x
552;162;220;32;Province0552;x
553;82;28;90;Province0553;x
554;155;45;34;Province0554;x
555;188;28;53;Province0555;x
556;177;62;46;Province0556;x
557;242;153;98;Province0557;x
558;226;121;77;Province0558;x
559;194;155;5;Province0559;x
560;140;68;24;Province0560;x
561;168;35;9;Province0561;x
562;66;208;122;Province0562;x
563;88;70;105;Province0563;x
564;237;91;87;Province0564;x
565;195;200;96;Province0565;x
566;126;181;103;Province0566;x
567;253;205;18;Province0567;x
568;91;113;22;Province0568;x
569;220;95;85;Province0569;x
570;81;58;72;Province0570;x
571;87;187;51;Province0571;x
572;172;97;38;Province0572;x
573;120;149;81;Province0573;x
574;81;3;61;Province0574;x
575;109;72;20;Province0575;x
576;168;13;112;Province0576;x
577;181;195;111;Province0577;x
578;188;197;53;Province0578;x
579;78;242;71;Province0579;x
580;212;70;5;Province0580;x
581;96;177;59;Province0581;x
582;172;24;116;Province0582;x
583;137;110;31;Province0583;x
584;247;220;96;Province0584;x
585;107;143;111;Province0585;x
586;80;136;88;Province0586;x
587;197;98;33;Province0587;x
588;157;216;12;Province0588;x
589;121;87;117;Province0589;x
590;76;69;114;Province0590;x
591;131;129;45;Province0591;x
592;217;183;27;Province0592;x
593;108;58;19;Province0593;x
594;168;125;98;Province0594;x
595;157;150;96;Province0595;x
596;144;231;68;Province0596;x
597;157;170;109;Province0597;x
598;103;129;63;Province0598;x
599;213;70;10;Province0599;x
600;66;77;78;Province0600;x
601;206;88;35;Province0601;x
602;105;79;70;Province0602;x
603;201;177;93;Province0603;x
604;104;152;77;Province0604;x
605;82;121;24;Province0605;x
606;179;200;47;Province0606;x
607;235;97;14;Province0607;x
608;151;136;72;Province0608;x
609;96;196;46;Province0609;x
610;173;29;62;Province0610;x
611;156;126;48;Province0611;x
612;217;219;59;Province0612;x
613;145;165;85;Province0613;x
614;197;52;59;Province0614;x
615;152;208;33;Province0615;x
616;110;168;33;Province0616;x
617;212;119;57;Province0617;x
618;201;227;14;Province0618;x
619;192;188;69;Province0619;x
620;78;63;21;Province0620;x
621;74;222;113;Province0621;x
622;102;171;117;Province0622;x
623;168;53;10;Province0623;x
624;145;93;123;Province0624;x
625;167;212;80;Province0625;x
626;116;109;22;Province0626;x
627;234;101;29;Province0627;x
628;153;125;26;Province0628;x
629;235;126;67;Province0629;x
630;174;30;65;Province0630;x
631;137;216;66;Province0631;x
632;174;130;120;Province0632;x
633;76;102;113;Province0633;x
634;143;234;95;Province0634;x
635;190;240;105;Province0635;x
636;75;147;122;Province0636;x
637;205;174;95;Province0637;x
638;142;141;10;Province0638;x
639;229;137;35;Province0639;x
640;111;66;41;Province0640;x
641;175;59;92;Province0641;x
642;69;146;123;Province0642;x
643;162;244;0;Province0643;x
644;122;58;88;Province0644;x
645;160;38;28;Province0645;x
646;186;112;95;Province0646;x
647;93;210;81;Province0647;x
648;109;188;96;Province0648;x
649;113;106;17;Province0649;x
650;100;240;14;Province0650;x
651;211;148;10;Province0651;x
652;165;10;11;Province0652;x
653;164;29;31;Province0653;x
654;77;45;90;Province0654;x
655;183;36;13;Province0655;x
656;94;123;103;Province0656;x
657;138;117;77;Province0657;x
658;115;208;36;Province0658;x
659;71;157;52;Province0659;x
660;195;171;53;Province0660;x
661;168;92;106;Province0661;x
662;175;172;15;Province0662;x
663;82;222;121;Province0663;x
664;229;81;72;Province0664;x
665;96;127;11;Province0665;x
666;152;203;125;Province0666;x
667;233;84;125;Province0667;x
668;92;212;104;Province0668;x
669;122;108;105;Province0669;x
670;231;74;29;Province0670;x
671;248;117;87;Province0671;x
672;174;112;94;Province0672;x
673;85;157;4;Province0673;x
674;164;250;22;Province0674;x
675;77;59;26;Province0675;x
676;155;250;41;Province0676;x
677;219;93;45;Province0677;x
678;220;171;107;Province0678;x
679;225;0;118;Province0679;x
680;226;198;39;Province0680;x
681;124;173;25;Province0681;x
682;75;96;85;Province0682;x
683;133;98;104;Province0683;x
684;137;250;68;Province0684;x
685;212;170;28;Province0685;x
686;195;52;93;Province0686;x
687;209;246;15;Province0687;x
688;193;3;72;Province0688;x
689;93;124;77;Province0689;x
690;170;234;6;Province0690;x
691;228;10;32;Province0691;x
692;148;19;22;Province0692;x
693;203;27;10;Province0693;x
694;212;36;68;Province0694;x
695;245;2;46;Province0695;x
696;146;196;126;Province0696;x
697;85;50;113;Province0697;x
698;75;63;43;Province0698;x
699;98;163;98;Province0699;x
700;93;253;110;Province0700;x
701;222;192;51;Province0701;x
702;113;157;57;Province0702;x
703;230;249;123;Province0703;x
704;141;208;51;Province0704;x
705;218;54;124;Province0705;x
706;109;157;14;Province0706;x
707;99;117;58;Province0707;x
708;162;14;106;Province0708;x
709;137;108;74;Province0709;x
710;122;30;57;Province0710;x
711;69;150;87;Province0711;x
712;78;96;21;Province0712;x
713;134;24;100;Province0713;x
714;77;151;116;Province0714;x
715;239;118;91;Province0715;x
716;85;127;63;Province0716;x
717;170;47;103;Province0717;x
718;199;30;17;Province0718;x
719;177;104;91;Province0719;x
720;168;217;83;Province0720;x
721;233;34;59;Province0721;x
722;181;99;3;Province0722;x
723;237;40;108;Province0723;x
724;151;124;0;Province0724;x
725;229;201;57;Province0725;x
726;188;234;38;Province0726;x
727;252;23;110;Province0727;x
728;172;133;6;Province0728;x
729;143;166;27;Province0729;x
730;144;6;123;Province0730;x
731;104;123;2;Province0731;x
732;74;121;29;Province0732;x
733;127;28;12;Province0733;x
734;124;242;100;Province0734;x
735;244;248;66;Province0735;x
736;111;21;22;Province0736;x
737;222;55;104;Province0737;x
738;185;166;49;Province0738;x
739;187;1;54;Province0739;x
740;139;233;113;Province0740;x
741;154;0;65;Province0741;x
742;153;15;40;Province0742;x
743;195;136;44;Province0743;x
744;130;12;12;Province0744;x
745;166;56;62;Province0745;x
746;224;183;11;Province0746;x
747;87;3;97;Province0747;x
748;245;117;80;Province0748;x
749;156;21;18;Province0749;x
750;98;125;36;Province0750;x
751;102;80;97;Province0751;x
752;178;102;66;Province0752;x
753;210;166;58;Province0753;x
754;86;210;53;Province0754;x
755;94;68;18;Province0755;x
756;203;44;43;Province0756;x
757;113;108;120;Province0757;x
758;145;169;102;Province0758;x
759;211;63;87;Province0759;x
760;195;250;42;Province0760;x
761;76;234;68;Province0761;x
762;71;110;35;Province0762;x
763;224;118;126;Province0763;x
764;84;88;126;Province0764;x
765;86;29;85;Province0765;x
766;89;234;46;Province0766;x
767;116;148;7;Province0767;x
768;191;137;96;Province0768;x
769;75;14;90;Province0769;x
770;134;207;52;Province0770;x
771;226;174;97;Province0771;x
772;239;1;112;Province0772;x
773;147;50;105;Province0773;x
774;233;206;120;Province0774;x
775;238;192;26;Province0775;x
776;65;109;125;Province0776;x
777;208;184;23;Province0777;x
778;213;214;105;Province0778;x
779;135;101;49;Province0779;x
780;250;44;114;Province0780;x
781;152;114;6;Province0781;x
782;161;167;66;Province0782;x
783;120;245;0;Province0783;x
784;170;88;39;Province0784;x
785;224;203;87;Province0785;x
786;252;147;54;Province0786;x
787;247;207;99;Province0787;x
788;189;112;32;Province0788;x
789;82;247;68;Province0789;x
790;80;100;19;Province0790;x
791;93;75;39;Province0791;x
792;70;164;124;Province0792;x
793;220;111;111;Province0793;x
794;220;183;30;Province0794;x
795;185;149;116;Province0795;x
796;74;120;124;Province0796;x
797;134;156;95;Province0797;x
798;106;253;31;Province0798;x
799;72;158;43;Province0799;x
800;253;5;56;Province0800;x
801;244;249;16;Province0801;x
802;139;84;99;Province0802;x
803;236;57;20;Province0803;x
804;241;117;101;Province0804;x
805;226;164;80;Province0805;x
806;161;236;72;Province0806;x
807;217;156;102;Province0807;x
808;95;194;88;Province0808;x
809;105;5;10;Province0809;x
810;127;128;75;Province0810;x
811;138;173;126;Province0811;x
812;151;165;55;Province0812;x
813;135;55;121;Province0813;x
814;190;118;21;Province0814;x
815;190;161;120;Province0815;x
816;227;182;93;Province0816;x
817;245;132;95;Province0817;x
818;170;204;95;Province0818;x
819;113;252;34;Province0819;x
820;147;119;48;Province0820;x
821;196;147;74;Province0821;x
822;190;210;30;Province0822;x
823;117;89;118;Province0823;x
824;178;176;74;Province0824;x
825;196;209;126;Province0825;x
826;124;170;0;Province0826;x
827;194;233;76;Province0827;x
828;174;227;86;Province0828;x
829;237;253;104;Province0829;x
830;232;105;74;Province0830;x
831;79;75;20;Province0831;x
832;121;17;22;Province0832;x
833;167;226;90;Province0833;x
834;131;31;0;Province0834;x
835;248;253;71;Province0835;x
836;234;7;28;Province0836;x
837;231;222;124;Province0837;x
838;77;170;42;Province0838;x
839;180;179;52;Province0839;x
840;203;165;14;Province0840;x
841;253;44;8;Province0841;x
842;131;117;58;Province0842;x
843;88;104;106;Province0843;x
844;142;31;88;Province0844;x
845;65;155;121;Province0845;x
846;189;80;106;Province0846;x
847;228;110;124;Province0847;x
848;216;39;35;Province0848;x
849;250;238;71;Province0849;x
850;96;198;49;Province0850;x
851;80;148;52;Province0851;x
852;201;99;15;Province0852;x
853;250;16;67;Province0853;x
854;207;240;10;Province0854;x
855;224;184;16;Province0855;x
856;116;223;58;Province0856;x
857;215;222;101;Province0857;x
858;136;125;101;Province0858;x
859;184;124;63;Province0859;x
860;254;119;74;Province0860;x
861;116;183;57;Province0861;x
862;215;78;7;Province0862;x
863;193;30;75;Province0863;x
864;199;83;102;Province0864;x
865;238;103;29;Province0865;x
866;101;54;46;Province0866;x
867;230;249;96;Province0867;x
868;181;76;89;Province0868;x
869;236;233;81;Province0869;x
870;207;184;97;Province0870;x
871;82;212;113;Province0871;x
872;196;0;74;Province0872;x
873;243;9;35;Province0873;x
874;227;168;8;Province0874;x
875;254;163;11;Province0875;x
876;151;203;104;Province0876;x
877;113;199;24;Province0877;x
878;118;110;113;Province0878;x
879;99;87;94;Province0879;x
880;234;123;70;Province0880;x
881;119;133;70;Province0881;x
882;231;116;93;Province0882;x
883;122;17;117;Province0883;x
884;156;153;6;Province0884;x
885;107;164;97;Province0885;x
886;124;221;50;Province0886;x
887;177;8;102;Province0887;x
888;121;148;11;Province0888;x
889;118;215;11;Province0889;x
890;237;240;126;Province0890;x
891;250;119;107;Province0891;x
892;108;192;83;Province0892;x
893;76;32;94;Province0893;x
894;224;31;57;Province0894;x
895;190;31;63;Province0895;x
896;212;59;83;Province0896;x
897;191;58;108;Province0897;x
898;76;109;19;Province0898;x
899;253;250;16;Province0899;x
900;117;31;38;Province0900;x
901;136;47;25;Province0901;x
902;74;39;60;Province0902;x
903;103;71;93;Province0903;x
904;200;72;53;Province0904;x
905;229;165;116;Province0905;x
906;236;128;111;Province0906;x
907;104;63;24;Province0907;x
908;231;221;34;Province0908;x
909;164;198;55;Province0909;x
910;79;101;34;Province0910;x
911;227;140;96;Province0911;x
912;152;122;2;Province0912;x
913;154;146;2;Province0913;x
914;146;69;105;Province0914;x
915;169;246;42;Province0915;x
916;100;87;83;Province0916;x
917;86;241;106;Province0917;x
918;202;234;54;Province0918;x
919;85;150;46;Province0919;x
920;245;56;107;Province0920;x
921;198;246;62;Province0921;x
922;244;174;65;Province0922;x
923;177;141;23;Province0923;x
924;66;39;8;Province0924;x
925;147;128;13;Province0925;x
926;109;69;73;Province0926;x
927;204;73;33;Province0927;x
928;124;233;35;Province0928;x
929;223;175;84;Province0929;x
930;146;83;7;Province0930;x
931;120;32;84;Province0931;x
